1,LZ2BE,62,60,120,6,720,96.7741935483871
2,LZ1KKZ,50,42,84,8,672,84.0
3,LZ1KDP,56,50,100,6,600,89.28571428571429
4,LZ1EV,70,63,126,4,504,90.0
5,LZ3ZZ,51,44,88,4,352,86.27450980392157
6,LZ3FM,38,30,60,5,300,78.94736842105263
7,LZ1KSA,18,17,34,3,102,94.44444444444444
8,LZ2CW,26,20,40,2,80,76.92307692307693
9,LZ1PV,18,13,26,3,78,72.22222222222221
10,LZ5EO,20,19,38,2,76,95.0
11,LZ2YO,15,15,30,2,60,100.0
12,LZ1ZX,17,15,30,2,60,88.23529411764706
13,LZ3OB,19,10,20,3,60,52.63157894736842
14,LZ5CT,18,18,36,1,36,100.0
15,LZ2JOW,8,8,16,2,32,100.0
16,LZ1DKL,9,8,16,2,32,88.88888888888889
17,LZ1VVD,11,11,22,1,22,100.0
18,LZ3SD,10,9,18,1,18,90.0
19,LZ1WF,7,7,14,1,14,100.0
20,LZ1KCO,8,6,12,1,12,75.0
21,LZ1FFF,10,5,10,1,10,50.0
22,LZ60KSB,4,4,8,1,8,100.0
23,LZ1VDR,2,2,4,2,8,100.0
24,LZ1ZB,3,3,6,1,6,100.0
25,LZ2OQV,1,1,2,1,2,100.0
26,LZ5O/P,14,14,28,0,0,100.0
27,LZ3BB,3,3,6,0,0,100.0
28,LZ7DX,1,1,2,0,0,100.0
29,LZ1DQ,13,12,24,0,0,92.3076923076923
30,LZ1MDK,8,7,14,0,0,87.5
31,LZ4UG,7,6,12,0,0,85.71428571428571
32,LZ3PZ,6,4,8,0,0,66.66666666666666
33,LZ1QZ,19,12,24,0,0,63.1578947368421
